重力场数据处理
扰动重力场元点值计算,DisturbParaEvent,DisturbPara,
等高程面模型重力位计算,EqhgtsModlDifEvent,EqhgtsModlDif,
等高程面重力位残差精化,EqhgtsMsurDifEvent,EqhgtsMsurDif,
过指定点模型等位面构造,EquiModelptntEvent,EquiModelptnt,
过指定点重力等位面精化,EquiMsureptntEvent,EquiMsureptnt,
高程异常的解析相容性评估,KsiEquipJudgeEvent,KsiEquipJudge,
地面高程异常成果精度评估,KsiErEstimateEvent,KsiErEstimate,
高程基准零点重力位参数计算,HgtDatumParaEvent,HgtDatumPara,
泊松方程约束GNSS水准融合,GNSSlscalecntEvent,GNSSlscalecnt,
残差高程异常水准网拟稳平差,GNSSlNetwkAdjEvent,GNSSlNetwkAdj,
指定参考属性观测量权值计算,WeighFunctionEvent,WeighFunction,
GNSS代替水准测量计算器,GNSSlvlcaltorEvent,GNSSlvlcaltor,
GNSS代替水准批量点计算,GNSSlfileCalcEvent,GNSSlfileCalc,
数据编辑工具
点值文件格式标准化,PntStandardEvent,PntStandard,
标准化格网格值构造,GrdvalStandardEvent,GrdvalStandard,
点值属性间加权运算,PntRecatrrCalcEvent,PntRecatrrCalc,
两格网格值加权运算,GrdTwoelemCalcEvent,GrdTwoelemCalc,
系列同规格格网累加,MultiGridaddEvent,MultiGridadd,
两向量格网的乘积运算,TwoVectCalcEvent,TwoVectCalc,
向量格网的两分量分解,VectgridpartEvent,Vectgridpart,
两格网合并为向量格网,VectgridmergEvent,Vectgridmerg,
向量格网形式相互转换,GridVFormEvent,GridVForm,
向量格网转为离散点值,GridtoPntvalEvent,GridtoPntval,
两球谐系数模型运算,HarmCSnmaddEvent,HarmCSnmadd,
格网内插离散点属性,GridInterpoPntEvent,GridInterpoPnt,
点值简单内插格网化,GridatePntCalcEvent,GridatePntCalc,
高分点简单平均格网化,MavergeGridEvent,MavergeGrid,
指定参数克里金格网化,MFitRBFGridEvent,MFitRBFGrid,
加权基函数插值格网化,MwpntKrig2DEvent,MwpntKrig2D,
插值法改变格网分辨率,MwgrdKrig2DEvent,MwgrdKrig2D,
按经纬度范围提取数据,SubPickupdataEvent,SubPickupdata,
按属性条件提取点记录,PickTermValueEvent,PickTermValue,
点位相同的两文件合并,TwoPntmerdgeEvent,TwoPntmerdge,
格网陆地海洋数据分离,SetValuelndEvent,SetValuelnd,
参考面支持的粗差探测,PickerrbgrdEvent,Pickerrbgrd,
